Deutsches Wort,Übersetzung
das Jahr,the year
die Person,the person
die Zeit,the Time
das Kind,the child
der Tag,the Day
das Leben,the Life
das Deutschland,the Germany
Die Seite,the page
das Thema,the topic
die Frage,the question
die Information,the information
die Unternehmen,the Companies
die Frau,the Mrs
der Fall,the case
die Gelegenheit,the opportunity
die Arbeit,the job
die Welt,the world
die Uhr,the clock
das Gebiet,the area
der Kunde,the customer
der Weg,the path
die Stadt,the city
das Land,the country
Das Teil,the part
das Bild,the image
das Projekt,the Project
das Angebot,the offer
das Haus,the House
das Beispiel,the example
die ein Buch,the a book
der Euro,the Euro
das Ziel,the target
die Kirche,the church
das Datum,the date
die Woche,the week
die Art,the kind
das Ende,the end
die Person,the person
der Grund,the reason
das Berlin,the Berlin
das Problem,the problem
der Gott,the God
das Internet,the Internet
der Standort,the location
die Inhalte,the contents
das Produkt,the product
die Geschichte,the story
die Entwicklung,the development
die Familie,the family
das Mitglied,the member
der Monat,the month
der Rahmen,the frame
die Form,the shape
der Dr,the Dr
der Nachname,the Surname
die Erfahrung,the experience
die Schule,the school
der Mann,the man
die Gegenstände,the items
der Preis,the price
die Entsorgung,the disposal
der Beitrag,the contribution
das Programm,the program
das Wort,the word
der Herr,the Mr
die Gruppe,the group
die Aufgabe,the task
das Gesetz,the Law
das Ergebnis,the Result
das Prozent,the percent
der Platz,the place
der Sinn,the sense
die Hilfe,the help
das Ereignis,the event
die Gesellschaft,the society
der Arbeitnehmer,the Employee
die Jugend,the youth
die lokale Gemeinschaft,the local community
der Text,the text
das Geld,the money
die Idee,the idea
der Raum,the space
die Stunde,the hour
die Hand,the hand
der Juni,the June
Die Webseite,the website
die Arbeit,the Job
der Mai,the May
das Spiel,the game
das Wasser,the water
die Regel,the rule
die Zukunft,the future
der Weg,the way
die Macht,the power
die Eltern,the parents
das Foto,the photo
die Interesse,the interest
die Aussicht,the view
die Kosten,the costs
die Gesellschaft,the society
die Zeiten,the Times
der Freund,the friend
die Region,the region
der Erfolg,the success
der Film,the Movie
die Liebe,the love
das Europa,the Europe
das Hotel,the hotel
das System,the system
der Gast,the guest
der Kontakt,the Contact
das Google,the Google
der Wert,the value
die Schülerinnen und Schüler,the pupils
die Mission,the mission
die GmbH,the GmbH
der Anfang,the Beginning
Die Webseite,the website
Die Bedeutung,the meaning
die Minute,the minute
der Wunsch,the wish
Der Punkt,the Point
das Jahrhundert,the century
die Kraft,the force
die Lösung,the solution
die Unterstützung,the support
die Forderung,the claim
der Körper,the body
die Qualität,the quality
das Herz,the heart
der April,the April
die Stufe,the step
die Universität,the university
die Millionen,the million
die Teilnehmer,the Attendees
die Energie,the energy
die Besucher,the visitors
der Partner,the partner
das Medium,the medium
Die Mannschaft,the team
die Entscheidung,the decision
die Natur,the nature
die Musik,the music
der Marsch,the March
die Rolle,the role
die Bildung,the education
der September,the September
die Antwort,the answer
die Sache,the Thing
die Notiz,the Note
die Situation,the situation
das München,the Munich
die Nummer,the number
der Vorteil,the advantage
das Auge,the eye
das Unternehmen,the company
die Menschen,the people
die Email,the e-mail
die Sprache,the language
die Straße,the Street
die Verwendung,the use
der Markt,the market
die Folge,the episode
die Einrichtung,the Facility
die Basis,the basis
Die Unterhaltung,the conversation
die Funktion,the function
die Such,the seek
das Land,the Country
Die Kooperation,the cooperation
die Organisation,the organization
der Oktober,the October
der Autor,the author
der Spaß,the fun
die Höhe,the height
die Kultur,the Culture
die Farbe,the colour
die Schweiz,the Switzerland
das Hamburg,the Hamburg
das Tier,the animal
die Pflanze,the plant
Der Doktor,the doctor
die Maßnahme,the measure
der Standort,the location
die Reise,the trip
im November,the November
die Auswahl,the selection
die Verbindung,the connection
der Kommentar,the comment
die Wahl,the choice
der Glaube,the Faith
die Studium,the study
der Benutzer,the user
das Gespenst,the ghost
das Beratungs,the advisory
der Ausdruck,the expression
die Sicherheit,the safety
die Richtung,the direction
die Chance,the chance
das Wissen,the knowledge
gut,Well
neu,New
groß,great
erst,first
weit,far
klein,small
eigen,own
hoch,high
wichtig,important
deutsch,German
verschieden,different
alt,old
möglich,possible
schnell,fast
lang,long
schön,Nice
nah,close
richtig,correct
aktuell,currently
gemeinsam,together
kurz,short
direkt,direct
ganz,quite
einfach,simple
genau,precisely
rund,around
wirklich,really
stark,strong
persönlich,personally
besonder,Customized
frei,free
jung,young
leicht,easy
unterschiedlich,different
entsprechend,corresponding
bekannt,known
einzeln,individually
spät,late
international,international
zusätzlich,Additionally
folgend,following
deutlich,clear
erfolgreich,successfully
sicher,for sure
klar,clear
sozial,social
bestimmt,certainly
zahlreich,numerous
individuell,individually
öffentlich,publicly
häufig,frequently
schwer,heavy
früh,early
interessant,Interesting
politisch,politically
europäisch,European
modern,modern
allgemein,generally
gesamt,total
technisch,technically
kostenlos,for free
voll,fully
speziell,special
toll,Great
gleich,same
offen,open minded
aktiv,active
privat,Private
notwendig,necessary
gleichzeitig,simultaneously
regelmäßig,regularly
–,-
jeweilig,respective
günstig,cheap
positiv,positive
echt,real
schlecht,bad
ähnlich,similar
wesentlich,essential
täglich,Every day
weltweit,worldwide
vorhanden,available
praktisch,practically
tatsächlich,In fact
komplett,completely
gering,small amount
einzig,only
passend,appropriate
vergangen,past
zentral,central
genannt,called
gesetzlich,legally
historisch,historical
erforderlich,necessary
wissenschaftlich,scientific
völlig,fully
heutig,today's
normal,normal
breit,wide
tief,deep
ständig,constant
beliebt,popular
perfekt,Perfect
herzlich,heartfelt
sogenannt,so-called
gesund,healthy
spannend,exciting
fest,fixed
natürlich,Naturally
grundsätzlich,basically
optimal,optimal
unabhängig,independent
konkret,concrete
selten,Rare
wirtschaftlich,economically
klassisch,classic
automatisch,automatically
frisch,fresh
falsch,not correct
eng,closely
nachhaltig,consistent
bewusst,consciously
intensiv,intensive
geeignet,suitable
absolut,absolutely
mobil,mobile
ehemalig,former
professionell,professional
rot,Red
rein,pure
bestehend,consisting
knapp,meager
vielfältig,diverse
sinnvoll,sensible
umfassend,full
